[2026-04-12 11:22:57] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 2.063s
[2026-04-12 11:22:57] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.444s
[2026-04-12 11:23:01] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.370s
[2026-04-12 11:23:06] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.430s
[2026-04-12 11:23:11] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.439s
[2026-04-12 11:23:16] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.453s
[2026-04-12 11:23:21] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.404s
[2026-04-12 11:23:26] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.417s
[2026-04-12 11:24:16] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.531s
[2026-04-12 11:24:54] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 1.605s
[2026-04-12 11:24:55] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.372s
[2026-04-12 11:25:00] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.385s
[2026-04-12 11:25:05] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.427s
[2026-04-12 11:25:10] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.431s
[2026-04-12 11:25:15] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.376s
[2026-04-12 11:25:20] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.428s
[2026-04-12 11:25:26] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.469s
[2026-04-12 11:25:31] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.372s
[2026-04-12 11:25:36] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.374s
[2026-04-12 11:25:41] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.378s
[2026-04-12 11:25:46] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.420s
[2026-04-12 11:25:51] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.374s
[2026-04-12 11:25:56] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.414s
[2026-04-12 11:26:01] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.371s
[2026-04-12 11:26:06] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.426s
[2026-04-12 11:26:11] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.421s
[2026-04-12 11:26:16] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.407s
[2026-04-12 11:27:11] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.482s
[2026-04-12 11:27:15] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.362s
[2026-04-12 11:27:21] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.406s
[2026-04-12 11:27:27] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 1.226s
[2026-04-12 11:27:31] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.526s
[2026-04-12 11:27:36] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.432s
[2026-04-12 11:27:41] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.427s
[2026-04-12 11:27:49] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.443s
[2026-04-12 11:27:49] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.510s
[2026-04-12 11:28:01] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 1.284s
[2026-04-12 11:28:05] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.458s
[2026-04-12 11:28:10] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.350s
[2026-04-12 11:28:15] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.382s
[2026-04-12 11:28:20] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.467s
[2026-04-12 11:28:25] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.321s
[2026-04-12 11:28:30] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.323s
[2026-04-12 11:28:35] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.393s
[2026-04-12 11:28:40] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.419s
[2026-04-12 11:28:45] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.488s
[2026-04-12 11:28:50] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.437s
[2026-04-12 11:29:17] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 1.751s
[2026-04-12 11:30:16] GET /admin/students | Host: 127.0.0.1:8000 | Status: 200 | Duration: 0.397s
